cell_id,route,c2_scope,problem,panel,N,p,s,K,s_upper_bound,design,law,sparsity_information,cell_index,n_records,n_ok,n_numerical_failure,n_selection_failure_empty,n_program_or_schema_error,n_other_status,n_empty_selection,n_interval_reportable,n_total_failure,n_containment,containment,containment_se,n_containment_selected,containment_selected,containment_selected_se,n_containment_candidate_raw_field,n_containment_selected_raw_naive,n_exact_recovery,exact_recovery,exact_recovery_se,n_exact_recovery_recomputed_ok_only,n_recovery_field_vs_recomputed_mismatch,n_naive_recovery_bug,naive_recovery_bug_excess,n_strict_simultaneous_coverage,strict_simultaneous_coverage,strict_simultaneous_coverage_se,n_coverage_conditional_numerator,n_coverage_numerator_not_subset_of_recovery,coverage_conditional_on_exact_recovery,coverage_conditional_on_exact_recovery_se,coverage_conditional_denominator,n_active_joint_coverage_field,mean_interval_width,mean_interval_width_se,mean_interval_width_n,n_width_missing_among_ok,n_computational_failure,computational_failure_rate,computational_failure_rate_se,false_negative_count_reportable,false_negative_count_including_empty_selection,false_negative_count_including_all_nonok,false_negative_denominator_reportable_records,false_negative_denominator_all_records,false_negative_rate_per_active_coord_reportable,false_negative_rate_per_active_coord_all,n_records_with_any_false_negative,false_positive_count,n_records_with_any_false_positive,false_positive_rate_per_record_reportable,n_tail_boundary_hits_positive,false_negative_rate_per_active_coord_reportable_se,false_negative_rate_per_active_coord_all_se,false_negative_record_rate_reportable,false_negative_record_rate_reportable_se,false_negative_record_rate_all,false_negative_record_rate_all_se,false_positive_record_rate_reportable,false_positive_record_rate_reportable_se,empty_selection_rate,empty_selection_rate_se,n_ok_rate,n_ok_rate_se
rank_N500_p1000_s3_identity_law3,unknown_s,interior,rank,IDENTITY_REFERENCE,500,1000,3,6,6,identity,3,upper_bound_K_known,2,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,968,0.968,0.0055656087,968,0,0.968,0.0055656087,1000,968,0.2121807357,0.0003789385,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_identity_law4,known_s,interior,rank,IDENTITY_REFERENCE,500,1000,3,6,6,identity,4,exact_s_known,3,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,956,0.956,0.0064856765,956,0,0.956,0.0064856765,1000,956,0.2909756353,0.0006151037,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_identity_law4,unknown_s,interior,rank,IDENTITY_REFERENCE,500,1000,3,6,6,identity,4,upper_bound_K_known,3,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,997,0.997,0.0017294508,997,0,997,0,953,0.953,0.0066926079,953,0,0.9558676028,0.0065047416,997,956,0.2910165677,0.0006167469,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,3,3,0.003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0017294508,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_identity_law5,known_s,interior,rank,IDENTITY_REFERENCE,500,1000,3,6,6,identity,5,exact_s_known,4,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,966,0.966,0.0057309685,966,0,0.966,0.0057309685,1000,966,0.4547925046,0.0012171472,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_identity_law5,unknown_s,interior,rank,IDENTITY_REFERENCE,500,1000,3,6,6,identity,5,upper_bound_K_known,4,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,966,0.966,0.0057309685,966,0,0.966,0.0057309685,1000,966,0.4547925046,0.0012171472,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_identity_law6,known_s,interior,rank,IDENTITY_REFERENCE,500,1000,3,6,6,identity,6,exact_s_known,5,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,955,0.955,0.006555532,955,0,0.955,0.006555532,1000,955,0.2597197127,0.0005381646,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_identity_law6,unknown_s,interior,rank,IDENTITY_REFERENCE,500,1000,3,6,6,identity,6,upper_bound_K_known,5,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,999,0.999,0.0009994999,999,0,999,0,954,0.954,0.0066245,954,0,0.954954955,0.0065619393,999,955,0.2597301276,0.0005376521,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,1,1,0.001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0009994999,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law1,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,1,exact_s_known,6,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,948,0.948,0.007021111,948,0,0.948,0.007021111,1000,948,0.2257257285,0.000396769,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law1,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,1,upper_bound_K_known,6,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,998,0.998,0.0014127986,998,0,998,0,946,0.946,0.0071473072,946,0,0.9478957916,0.0070347947,998,948,0.2257374404,0.0003967334,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,2,2,0.002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0014127986,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law2,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,2,exact_s_known,7,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,963,0.963,0.0059691708,963,0,0.963,0.0059691708,1000,963,0.195465325,0.0003692318,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law2,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,2,upper_bound_K_known,7,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,998,0.998,0.0014127986,998,0,998,0,961,0.961,0.0061220095,961,0,0.9629258517,0.0059809028,998,963,0.1954635303,0.0003691599,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,2,2,0.002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0014127986,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law3,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,3,exact_s_known,8,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,953,0.953,0.0066926079,953,0,0.953,0.0066926079,1000,953,0.2113319911,0.0003913951,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law3,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,3,upper_bound_K_known,8,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,997,0.997,0.0017294508,997,0,997,0,950,0.95,0.0068920244,950,0,0.9528585757,0.006712248,997,953,0.2113648048,0.0003923357,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,3,3,0.003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0017294508,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law4,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,4,exact_s_known,9,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,960,0.96,0.0061967734,960,0,0.96,0.0061967734,1000,960,0.2914623998,0.0006083198,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law4,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,4,upper_bound_K_known,9,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,998,0.998,0.0014127986,998,0,998,0,958,0.958,0.0063431853,958,0,0.9599198397,0.0062089325,998,960,0.2914578502,0.0006084317,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,2,2,0.002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0014127986,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law5,known_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,5,exact_s_known,10,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,962,0.962,0.0060461558,962,0,0.962,0.0060461558,1000,962,0.4562012132,0.0012010937,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rank_N500_p1000_s3_toeplitz_law5,unknown_s,interior,rank,CORRELATED_STRESS,500,1000,3,6,6,toeplitz,5,upper_bound_K_known,10,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,962,0.962,0.0060461558,962,0,0.962,0.0060461558,1000,962,0.4562012132,0.0012010937,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
