kernel,n_total,B,scheme,Lambda,kappa_max,floor_frac,zeta_projected_frac,zeta_proj_moved_mean,pilot_ok_frac,pilot_gradnorm_max,finite_frac
rank,10000,10,WR,1.0,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
rank,10000,10,WR,2.0,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
rank,10000,10,WR,5.0,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
rank,10000,10,WR,10.0,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
rank,10000,10,WR,20.0,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
