kernel,n_total,n1,B,scheme,Lambda,lambda_B,R,T,t0,steps,BT,Bt0,m0,m,P,v_emp,v_data,v_alg,v_pred,ratio_emp_pred,alg_share,bias_abs,cov_full,cov_data_only,mcse_cov,pilot_ok_frac,pilot_gradnorm_max,floor_frac,kappa_max,zeta_projected_frac,zeta_proj_moved_mean,finite_frac,D0_same_across_B,t_pilot,t_hessian0,t_recursion,t_terminal,t_anchors,t_total
rank,10000,10000,10,WR,1.0,0.1,1000,1000,30,970,10000,300,16490,16490,16,0.000256890592871,0.0001055039162274,0.000149582583146,0.0002550864993735,1.0069332274959208,0.5863996448583777,0.0003846403751787,0.95,0.791,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,False,0.0015360355962766,0.002865537237958,0.0128179316426394,0.0023547679150942,0.0229909238128457,0.0426158028338104
rank,10000,10000,10,WR,2.0,0.2,1000,2000,30,1970,20000,300,16490,16490,16,0.0001857476849258,0.0001055246109731,7.480553790646465e-05,0.0001803301488796,1.029985762557707,0.41482564779468,0.0002850716327016,0.9415,0.8675,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,False,0.0015157082838704,0.0029292078395374,0.0255081411668797,0.0024268201221711,0.022947726748418,0.0553776450835866
rank,10000,10000,10,WR,5.0,0.5,1000,5000,30,4970,50000,300,16490,16490,16,0.0001371139535298,0.0001054900909005,2.991150727606186e-05,0.0001354015981766,1.0125085027263871,0.2209096949658167,0.0003660971781052,0.9435,0.9185,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,False,0.0014965424636611,0.0028934518294408,0.0649109844112535,0.0023734012099448,0.0224773585977964,0.0942063164183637
rank,10000,10000,10,WR,10.0,1.0,1000,10000,30,9970,100000,300,16490,16490,16,0.0001244907290532,0.0001054255206799,1.494630539177382e-05,0.0001203718260717,1.0340564425906122,0.1241678924438764,0.0002991489356665,0.944,0.9295,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,False,0.0014487748312531,0.0028483770691091,0.1317968479914125,0.0024761971788248,0.0228030658925417,0.1614231614797608
rank,10000,10000,10,WR,20.0,2.0,1000,20000,30,19970,200000,300,16490,16490,16,0.0001126730841042,0.0001054289162687,7.4732898786053296e-06,0.0001129022061473,0.9978461168189394,0.066192646603242,0.0003205883477787,0.9485,0.941,0.0068920243760451,1.0,6.060891067578673e-09,0.0,1.26010684298395,0.0,0.0,1.0,False,0.0014351716722594,0.0027632238245569,0.2598412276159506,0.0025258572808234,0.0233041088307509,0.2899186340562301
