kernel,n_total,n1,B,scheme,Lambda,lambda_B,R,T,t0,steps,BT,Bt0,m0,m,P,v_emp,v_data,v_alg,v_pred,ratio_emp_pred,alg_share,bias_abs,cov_full,cov_data_only,mcse_cov,pilot_ok_frac,pilot_gradnorm_max,floor_frac,kappa_max,zeta_projected_frac,zeta_proj_moved_mean,finite_frac,D0_same_across_B,t_pilot,t_hessian0,t_recursion,t_terminal,t_anchors,t_total,v_emp_theta1,v_data_theta1,v_alg_theta1,v_pred_theta1,ratio_emp_pred_theta1,alg_share_theta1,cov_full_theta1,cov_data_only_theta1
auc,1000,400,1,WR,24.9125,24.9125,1000,9965,100,9865,9965,100,8192,8192,16,0.0059812230105244,0.0054944809895411,0.000352721876266,0.0058472028658072,1.0229322696429453,0.0602981160661264,0.0032430813400485,0.9503333333333334,0.9406666666666668,0.0068920243760451,1.0,3.169799580704792e-09,0.0,3.233695297410712,0.0,0.0,1.0,True,0.0006135751775582,0.0010192714356817,0.1053163160446565,0.0009603579664835,0.0016253222700906,0.1095824318712693,0.0061605519400056725,0.00551115246891035,0.0003682264464996401,0.00587937891540999,1.0478235930429185,0.06263016073594269,0.947,0.938
auc,1000,400,10,WR,24.9,2.49,1000,996,10,986,9960,100,8192,8192,16,0.005980044089166,0.00549443561601,0.0003528911434607,0.0058473267594707,1.0227109953913935,0.0603258033139687,0.003240259280712,0.9496666666666668,0.9413333333333334,0.0068920243760451,1.0,3.169799580704792e-09,0.0,3.233695297410712,0.0,0.0,1.0,True,0.0003628876456641,0.0006768745839945,0.0109806086260941,0.0009705883304122,0.0016237944201566,0.0146512114924262,0.006156740493876843,0.005511060548190571,0.00036840247738496136,0.005879463025575533,1.0471603388090307,0.0626592047236999,0.947,0.938
auc,1000,400,100,WR,24.75,0.2475,1000,99,1,98,9900,100,8192,8192,16,0.0059757996999742,0.0054922102072333,0.000354845907444,0.0058470561146774,1.0220226746315608,0.0606630596264849,0.0031314288222051,0.9486666666666668,0.9416666666666668,0.0068920243760451,1.0,3.169799580704792e-09,0.0,3.233695297410712,0.0,0.0,1.0,True,0.0003785760547616,0.0006807467040489,0.0015481824763701,0.0009318639521952,0.0016626869623432,0.0052372523993253,0.0061537374247244815,0.005508528878696935,0.0003704203727525554,0.00587894925144949,1.0467410350935145,0.06300792146848792,0.946,0.939
auc,10000,4000,1,WR,33.21925,33.21925,1000,132877,300,132577,132877,300,8192,8192,16,0.0005486416907553,0.0005429563708098,2.6069956597097e-05,0.0005690263274069,0.9642333151759483,0.0458011414445866,0.000455379232117,0.9586666666666668,0.9556666666666668,0.0068920243760451,1.0,3.746827529065645e-09,0.0,2.20471590918522,0.0,0.0,1.0,True,0.0007774676564149,0.0011577124501345,1.317140643525403,0.0010979006354464,0.015750437247334,1.335973259933293,0.0005785757662647831,0.0005419294410481981,2.720054181000931e-05,0.0005691299828582074,1.016596882418913,0.04779319773912884,0.948,0.946
auc,10000,4000,10,WR,33.2175,3.32175,1000,13287,30,13257,132870,300,8192,8192,16,0.0005486154038963,0.0005429572823238,2.6071379070831973e-05,0.0005690286613946,0.9641837177737006,0.0458034507321566,0.0004554552200964,0.9586666666666668,0.9556666666666668,0.0068920243760451,1.0,3.746827529065645e-09,0.0,2.20471590918522,0.0,0.0,1.0,True,0.0005081336575094,0.0007995897986693,0.1417118242582073,0.0011159132078755,0.0157913480841089,0.1599684159724274,0.000578558734465835,0.0005419300148645996,2.7202009851404602e-05,0.0005691320247160042,1.0165633092858106,0.04779560571201094,0.948,0.946
auc,10000,4000,100,WR,33.2,0.332,1000,1328,3,1325,132800,300,8192,8192,16,0.000548816816752,0.0005429489223402,2.6084638249373423e-05,0.0005690335605895,0.96453028830249,0.0458263619463065,0.0004509437232419,0.9583333333333334,0.956,0.0068920243760451,1.0,3.746827529065645e-09,0.0,2.20471590918522,0.0,0.0,1.0,True,0.0004983345004729,0.0007654364204499,0.0200272522490704,0.0011553110050735,0.0157779503974597,0.0382625771329039,0.00057902409389843,0.0005419154387494549,2.721553122304208e-05,0.0005691309699724969,1.0173828599178343,0.047819452215642495,0.948,0.946
auc,100000,40000,1,WR,41.5241,41.5241,1000,1660964,1000,1659964,1660964,1000,8192,8192,16,5.723531501834917e-05,5.433855816457854e-05,2.0836433176687e-06,5.642220148224725e-05,1.014433714603438,0.0369198823711801,0.0001890693880477,0.9506666666666668,0.9473333333333334,0.0068920243760451,1.0,3.6036090211055165e-09,0.0,1.6931602340434966,0.0,0.0,1.0,True,0.0013032411297317,0.001429749481962,16.18338386123639,0.0014017104041995,0.1546760168349137,16.342245853551315,5.64900166648987e-05,5.422524410924874e-05,2.172959995085895e-06,5.6398204104334634e-05,1.001627934116381,0.038528886328827026,0.955,0.951
auc,100000,40000,10,WR,41.524,4.1524,1000,166096,100,165996,1660960,1000,8192,8192,16,5.723556834098648e-05,5.433855456562036e-05,2.08364816650568e-06,5.6422202732126045e-05,1.0144381654975705,0.0369199674741467,0.0001890590941056,0.9506666666666668,0.9473333333333334,0.0068920243760451,1.0,3.6036090211055165e-09,0.0,1.6931602340434966,0.0,0.0,1.0,True,0.0008953063652152,0.0010269910760689,1.7719397586189445,0.0012912735162535,0.1548652201882796,1.930061689363327,5.6490709018847726e-05,5.4225243775664595e-05,2.172965180473767e-06,5.639820895613836e-05,1.0016401241177944,0.038528974956699616,0.955,0.951
auc,100000,40000,100,WR,41.5225,0.415225,1000,16609,10,16599,1660900,1000,8192,8192,16,5.723767312363912e-05,5.433853438606646e-05,2.083722524492374e-06,5.642225691055883e-05,1.014474938225305,0.0369212497220696,0.0001890324839784,0.9506666666666668,0.9473333333333334,0.0068920243760451,1.0,3.6036090211055165e-09,0.0,1.6931602340434966,0.0,0.0,1.0,True,0.0008555448295082,0.0009837035313248,0.2609223050086293,0.0011754400854697,0.1563004202604061,0.4202781596005661,5.6487734207851034e-05,5.4225188503101654e-05,2.173041196445308e-06,5.6398229699546965e-05,1.0015870091806232,0.038530308628867534,0.955,0.951
rank,1000,1000,1,WR,9.965,9.965,1000,9965,100,9865,9965,100,9261,9261,16,0.0012071089837482,0.0010573716271575,0.000144310348754,0.0012016819759115,1.004591767352665,0.1200903938340006,0.0001745950082329,0.948,0.93,0.0068920243760451,1.0,5.8388939432005045e-09,0.0,1.3888587044895857,0.0,0.0,1.0,True,0.0013925948431133,0.0015654062565881,0.1295567809664062,0.0013477381015545,0.0023472934662713,0.1362588321947259,0.0011831657128270156,0.0010608517248979893,0.0001447459032917597,0.001205597628189749,0.9813935306123522,0.12006153621013771,0.948,0.929
