family,treatment,comparator,outcome,unit,n_treatment,n_comparator,mean_treatment,mean_comparator,estimate,standard_error,ci_95_low,ci_95_high,relative_lift,p_value,p_value_holm,significant_holm_0_05
primary_email_vs_control,Mens E-Mail,No E-Mail,visit,proportion,21307,21306,0.182756840475,0.106167276823,0.0765895636515,0.00338588781173,0.0699533454849,0.0832257818182,0.721404616781,2.74042934983e-113,1.6442576099e-112,true
primary_email_vs_control,Mens E-Mail,No E-Mail,conversion,proportion,21307,21306,0.012531093068,0.00572608654839,0.00680500651962,0.000920872785735,0.00500012902523,0.008609884014,1.18842187629,1.4712093248e-13,5.88483729918e-13,true
primary_email_vs_control,Mens E-Mail,No E-Mail,spend,currency_units_per_customer,21307,21306,1.42261651101,0.652789355111,0.769827155895,0.145246560249,0.485149128929,1.05450518286,1.17928877036,1.15713688796e-07,3.47141066389e-07,true
primary_email_vs_control,Womens E-Mail,No E-Mail,visit,proportion,21387,21306,0.15140038341,0.106167276823,0.0452331065871,0.00323446209909,0.0388936773635,0.0515725358106,0.426055070267,1.93185656178e-44,9.6592828089e-44,true
primary_email_vs_control,Womens E-Mail,No E-Mail,conversion,proportion,21387,21306,0.00883714405948,0.00572608654839,0.00311105751109,0.000822677077555,0.00149864006817,0.004723474954,0.543313043698,0.000155806956636,0.000311613913273,true
primary_email_vs_control,Womens E-Mail,No E-Mail,spend,currency_units_per_customer,21387,21306,1.07720157105,0.652789355111,0.424412215937,0.130332858529,0.168964507217,0.679859924656,0.650151863865,0.00112845966373,0.00112845966373,true
secondary_mens_vs_womens,Mens E-Mail,Womens E-Mail,visit,proportion,21307,21387,0.182756840475,0.15140038341,0.0313564570645,0.00360800083717,0.0242849053674,0.0384280087615,0.20710949575,3.59858027585e-18,1.07957408275e-17,true
secondary_mens_vs_womens,Mens E-Mail,Womens E-Mail,conversion,proportion,21307,21387,0.012531093068,0.00883714405948,0.00369394900853,0.000995162149457,0.00174346703682,0.00564443098024,0.418002579076,0.00020570385066,0.00041140770132,true
secondary_mens_vs_womens,Mens E-Mail,Womens E-Mail,spend,currency_units_per_customer,21307,21387,1.42261651101,1.07720157105,0.345414939958,0.159617414842,0.0325705555629,0.658259324353,0.320659521153,0.0304629770565,0.0304629770565,true
